Rank,Name,Year,Genre,Publisher
43,Mario Kart 7,2011,Racing,Nintendo
44,Halo 3,2007,Shooter,Microsoft Game Studios
46,Pokemon HeartGold/Pokemon SoulSilver,2009,Action,Nintendo
47,Super Mario 64,1996,Platform,Nintendo
48,Gran Turismo 4,2004,Racing,Sony Computer Entertainment
49,Super Mario Galaxy,2007,Platform,Nintendo
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,Role-Playing,Nintendo
51,Super Mario Land 2: 6 Golden Coins,1992,Adventure,Nintendo
52,Grand Theft Auto IV,2008,Action,Take-Two Interactive
53,Gran Turismo,1997,Racing,Sony Computer Entertainment
54,Super Mario 3D Land,2011,Platform,Nintendo
55,Gran Turismo 5,2010,Racing,Sony Computer Entertainment
58,Super Mario All-Stars,1993,Platform,Nintendo
59,Pokemon FireRed/Pokemon LeafGreen,2004,Role-Playing,Nintendo
61,Just Dance 3,2011,Misc,Ubisoft
62,Call of Duty: Ghosts,2013,Shooter,Activision
63,Halo: Reach,2010,Shooter,Microsoft Game Studios
64,Mario Kart 64,1996,Racing,Nintendo
65,New Super Mario Bros. 2,2012,Platform,Nintendo
66,Halo 4,2012,Shooter,Microsoft Game Studios
67,Final Fantasy VII,1997,Role-Playing,Sony Computer Entertainment
69,Just Dance 2,2010,Misc,Ubisoft
70,Gran Turismo 2,1999,Racing,Sony Computer Entertainment
71,Call of Duty 4: Modern Warfare,2007,Shooter,Activision
72,Donkey Kong Country,1994,Platform,Nintendo
73,Minecraft,2013,Misc,Microsoft Game Studios
74,Animal Crossing: New Leaf,2012,Simulation,Nintendo
75,Mario Party DS,2007,Misc,Nintendo
76,The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks
77,Super Mario Kart,1992,Racing,Nintendo
78,FIFA 16,2015,Sports,Electronic Arts
79,Wii Party,2010,Misc,Nintendo
80,Halo 2,2004,Shooter,Microsoft Game Studios
81,Mario Party 8,2007,Misc,Nintendo
82,Pokemon Black 2/Pokemon White 2,2012,Role-Playing,Nintendo
83,FIFA Soccer 13,2012,Action,Electronic Arts
84,The Sims 3,2009,Simulation,Electronic Arts
85,GoldenEye 007,1997,Shooter,Nintendo
86,Mario & Sonic at the Olympic Games,2007,Sports,Sega
87,Final Fantasy X,2001,Role-Playing,Sony Computer Entertainment
88,Final Fantasy VIII,1999,Role-Playing,SquareSoft
89,Pokémon Platinum Version,2008,Role-Playing,Nintendo
90,Pac-Man,1982,Puzzle,Atari
91,Grand Theft Auto: Liberty City Stories,2005,Action,Take-Two Interactive
92,Super Mario Galaxy 2,2010,Platform,Nintendo
93,Star Wars Battlefront (2015),2015,Shooter,Electronic Arts
94,Call of Duty: Advanced Warfare,2014,Shooter,Activision
95,The Legend of Zelda: Ocarina of Time,1998,Action,Nintendo
96,Crash Bandicoot 2: Cortex Strikes Back,1997,Platform,Sony Computer Entertainment
97,Super Mario Bros. 2,1988,Platform,Nintendo
98,Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo
99,Call of Duty: World at War,2008,Shooter,Activision
100,Battlefield 3,2011,Shooter,Electronic Arts
101,The Legend of Zelda: Twilight Princess,2006,Action,Nintendo
103,Just Dance,2009,Misc,Ubisoft
105,Need for Speed Underground,2003,Racing,Electronic Arts
106,Tekken 3,1998,Fighting,Sony Computer Entertainment
107,Crash Bandicoot 3: Warped,1998,Platform,Sony Computer Entertainment
108,Super Smash Bros. Melee,2001,Fighting,Nintendo
109,Mario Kart 8,2014,Racing,Nintendo
110,Fallout 4,2015,Role-Playing,Bethesda Softworks
111,Mario Kart: Double Dash!!,2003,Racing,Nintendo
112,Just Dance 4,2012,Misc,Ubisoft
113,FIFA 14,2013,Sports,Electronic Arts
114,Need for Speed Underground 2,2004,Racing,Electronic Arts
115,Medal of Honor: Frontline,2002,Shooter,Electronic Arts
116,Uncharted 3: Drake's Deception,2011,Action,Sony Computer Entertainment
117,Crash Bandicoot,1996,Platform,Sony Computer Entertainment
118,Zumba Fitness,2010,Sports,505 Games
119,Gears of War 2,2008,Shooter,Microsoft Game Studios
120,Uncharted 2: Among Thieves,2009,Action,Sony Computer Entertainment
122,FIFA 12,2011,Sports,Electronic Arts
123,Big Brain Academy,2005,Misc,Nintendo
124,Red Dead Redemption,2010,Action,Take-Two Interactive
125,FIFA 15,2014,Sports,Electronic Arts
126,Donkey Kong Country Returns,2010,Platform,Nintendo
128,The Legend of Zelda,1986,Action,Nintendo
129,Assassin's Creed III,2012,Action,Ubisoft
130,Halo: Combat Evolved,2001,Shooter,Microsoft Game Studios
131,Pokémon Emerald Version,2004,Role-Playing,Nintendo
132,Kingdom Hearts,2002,Role-Playing,Sony Computer Entertainment
133,Pokémon Crystal Version,2000,Role-Playing,Nintendo
134,Halo 3: ODST,2009,Shooter,Microsoft Game Studios
136,Super Mario Sunshine,2002,Platform,Nintendo
137,Street Fighter II: The World Warrior,1992,Fighting,Capcom
138,World of Warcraft,2004,Role-Playing,Activision
139,Driver,1999,Action,GT Interactive
140,Kinect Sports,2010,Sports,Microsoft Game Studios
141,Gears of War 3,2011,Shooter,Microsoft Game Studios
142,Gears of War,2006,Shooter,Microsoft Game Studios
143,Metal Gear Solid 2: Sons of Liberty,2001,Action,Konami Digital Entertainment
144,Sonic the Hedgehog 2,1992,Platform,Sega
145,Metal Gear Solid 4: Guns of the Patriots,2008,Action,Konami Digital Entertainment
146,Metal Gear Solid,1998,Action,Konami Digital Entertainment
147,The Last of Us,2013,Action,Sony Computer Entertainment Europe
148,Final Fantasy XII,2006,Role-Playing,Square Enix
149,LittleBigPlanet,2008,Platform,Sony Computer Entertainment
150,Dragon Quest IX: Sentinels of the Starry Skies,2009,Role-Playing,Nintendo
151,LEGO Star Wars: The Complete Saga,2007,Action,LucasArts
152,Resident Evil 2,1998,Action,Virgin Interactive
153,Tekken 2,1996,Fighting,Sony Computer Entertainment
154,Cooking Mama,2006,Simulation,505 Games
155,Destiny,2014,Shooter,Activision
157,Assassin's Creed II,2009,Action,Ubisoft
158,Super Smash Bros.,1999,Fighting,Nintendo
159,Assassin's Creed,2007,Adventure,Ubisoft
160,Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment
161,Forza Motorsport 3,2009,Racing,Microsoft Game Studios
162,Monster Hunter Freedom Unite,2008,Role-Playing,Capcom
163,Super Mario Advance,2001,Platform,Nintendo
164,Mario Kart: Super Circuit,2001,Racing,Nintendo
166,Pokemon Stadium,1999,Strategy,Nintendo
168,Crash Bandicoot: The Wrath of Cortex,2001,Platform,Universal Interactive
170,Final Fantasy XIII,2009,Role-Playing,Square Enix
171,Dr. Mario,1989,Puzzle,Nintendo
172,Pokemon Pinball,1999,Misc,Nintendo
174,Final Fantasy IX,2000,Role-Playing,SquareSoft
175,Final Fantasy X-2,2003,Role-Playing,Electronic Arts
176,Donkey Kong 64,1999,Platform,Nintendo
178,Professor Layton and the Curious Village,2007,Puzzle,Nintendo
179,Tomb Raider II,1997,Action,Eidos Interactive
180,Madden NFL 2004,N/A,Sports,Electronic Arts
181,Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix
182,Diablo III,2012,Role-Playing,Activision
184,New Super Mario Bros. U,2012,Platform,Nintendo
185,Super Mario Land 3: Wario Land,1994,Platform,Nintendo
187,The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo
188,Donkey Kong Country 2: Diddy's Kong Quest,1995,Platform,Nintendo
189,Tomodachi Life,2013,Simulation,Nintendo
191,Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts
192,Kirby's Dream Land,1992,Platform,Nintendo
193,Fable III,2010,Role-Playing,Microsoft Game Studios
195,Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios
196,Guitar Hero II,2006,Misc,RedOctane
197,Resident Evil 5,2009,Action,Capcom
199,Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive
200,FIFA Soccer 11,2010,Sports,Electronic Arts
202,Resident Evil,1996,Action,Virgin Interactive
203,Tony Hawk's Pro Skater,1999,Sports,Activision
205,Warzone 2100,1999,Strategy,Eidos Interactive
206,Spyro the Dragon,1998,Platform,Sony Computer Entertainment
207,Link's Crossbow Training,2007,Shooter,Nintendo
208,Guitar Hero III: Legends of Rock,2007,Misc,Activision
209,Fallout 3,2008,Role-Playing,Bethesda Softworks
210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo
211,Uncharted: Drake's Fortune,2007,Action,Sony Computer Entertainment
212,Madden NFL 06,2005,Sports,Electronic Arts
214,Diddy Kong Racing,1997,Racing,Nintendo
215,Monster Hunter Freedom 3,2010,Role-Playing,Capcom
217,God of War III,2010,Action,Sony Computer Entertainment
218,StarCraft II: Wings of Liberty,2010,Strategy,Activision
221,Crash Team Racing,1999,Racing,Sony Computer Entertainment
222,FIFA 17,2016,Sports,Electronic Arts
224,Driver 2,2000,Action,Atari
225,The Simpsons: Hit & Run,2003,Racing,Vivendi Games
226,Tony Hawk's Pro Skater 2,2000,Sports,Activision
227,Animal Crossing: City Folk,2008,Simulation,Nintendo
228,The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts
229,Forza Motorsport 4,2011,Racing,Microsoft Game Studios
230,Tomb Raider,1996,Action,Eidos Interactive
232,The Legend of Zelda: A Link to the Past,1991,Action,Nintendo
233,The Legend of Zelda: The Wind Waker,2002,Action,Nintendo
234,Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega
235,Luigi's Mansion: Dark Moon,2013,Action,Nintendo
236,Splatoon,2015,Shooter,Nintendo
239,Madden NFL 2005,2004,Sports,Electronic Arts
240,Pitfall!,1981,Platform,Activision
241,Madden NFL 07,2006,Sports,Electronic Arts
242,Spider-Man: The Movie,2002,Action,Activision
243,Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation
244,Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment
246,God of War,2005,Action,Sony Computer Entertainment
247,Nintendo Land,2012,Misc,Nintendo
248,Michael Jackson: The Experience,2010,Misc,Ubisoft
249,Tony Hawk's Pro Skater 3,2001,Sports,Activision
250,Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment
251,The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive
252,Zelda II: The Adventure of Link,1987,Adventure,Nintendo
253,Need for Speed: Most Wanted,2005,Racing,Electronic Arts
254,Resistance: Fall of Man,2006,Shooter,Sony Computer Entertainment
255,Sonic the Hedgehog,1991,Platform,Sega
256,Kingdom Hearts II,2005,Role-Playing,Square Enix
259,Asteroids,1980,Shooter,Atari
260,Fable II,2008,Role-Playing,Microsoft Game Studios
261,Halo 5: Guardians,2015,Shooter,Microsoft Game Studios
262,Super Mario 3D World,2013,Platform,Nintendo
263,Batman: Arkham Asylum,2009,Action,Eidos Interactive
264,Assassin's Creed: Revelations,2011,Action,Ubisoft
265,Namco Museum,2001,Misc,Namco Bandai Games
266,Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment
267,Daxter,2006,Platform,Sony Computer Entertainment
268,Warcraft II: Tides of Darkness,1995,Strategy,Activision
270,FIFA Soccer 06,2005,Sports,Electronic Arts
271,EyeToy Play,2003,Misc,Sony Computer Entertainment
272,Uncharted 4: A Thief's End,2016,Shooter,Sony Computer Entertainment
273,Gran Turismo 5 Prologue,2007,Racing,Sony Computer Entertainment
275,Street Fighter IV,2009,Fighting,Capcom
277,Teenage Mutant Ninja Turtles,1989,Action,Palcom
278,Excitebike,1984,Racing,Nintendo
279,Frogger,1997,Action,Hasbro Interactive
280,Madden NFL 2003,2002,Sports,Electronic Arts
281,Watch Dogs,2014,Action,Ubisoft
282,Half-Life,1997,Shooter,Vivendi Games
283,Super Mario World 2: Yoshi's Island,1995,Platform,Nintendo
284,FIFA Soccer 07,2006,Sports,Electronic Arts
285,The Legend of Zelda: Skyward Sword,2011,Action,Nintendo
286,Street Fighter II Turbo,1992,Fighting,Capcom
287,Carnival Games,2007,Misc,Take-Two Interactive
289,World of Warcraft: The Burning Crusade,2007,Role-Playing,Activision
290,Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks
291,God of War II,2007,Action,Sony Computer Entertainment
292,Forza Motorsport 2,2007,Racing,Microsoft Game Studios
293,World Soccer Winning Eleven 9,2005,Sports,Konami Digital Entertainment
294,Namco Museum Vol.3,1996,Misc,Sony Computer Entertainment
295,Tekken Tag Tournament,2000,Fighting,Namco Bandai Games
296,Far Cry 4,2014,Shooter,Ubisoft
297,Star Fox 64,1997,Shooter,Nintendo
299,Golf,1984,Sports,Nintendo
301,Professor Layton and the Diabolical Box,2007,Puzzle,Nintendo
302,Left 4 Dead 2,2009,Shooter,Electronic Arts
303,Namco Museum: 50th Anniversary,2005,Misc,Namco Bandai Games
304,EA Sports Active,2009,Sports,Electronic Arts
305,Assassin's Creed: Unity,2014,Action,Ubisoft
306,Donkey Kong Land,1994,Platform,Nintendo
307,Tony Hawk's Underground,2003,Sports,Activision
308,Assassin's Creed IV: Black Flag,2013,Action,Ubisoft
309,Monster Hunter 4 Ultimate,2014,Role-Playing,Nintendo
310,MotorStorm,2006,Racing,Sony Computer Entertainment
312,Tekken 5,2005,Fighting,Namco Bandai Games
313,Dragon Warrior III,1988,Role-Playing,Enix Corporation
314,Sports Champions,2010,Sports,Sony Computer Entertainment
315,NBA 2K16,2015,Sports,Take-Two Interactive
316,World Soccer Winning Eleven 8 International,2004,Sports,Konami Digital Entertainment
317,Flash Focus: Vision Training in Minutes a Day,2007,Misc,Nintendo
318,Namco Museum Vol.1,1995,Misc,Sony Computer Entertainment
319,The Legend of Zelda: Link's Awakening,1992,Action,Nintendo
320,Mario & Luigi: Bowser's Inside Story,2009,Role-Playing,Nintendo
321,Big Brain Academy: Wii Degree,2007,Misc,Nintendo
322,Nintendogs + cats,2011,Simulation,Nintendo
323,Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment
324,Mario & Sonic at the London 2012 Olympic Games,2011,Sports,Sega
325,LEGO Indiana Jones: The Original Adventures,2008,Action,Activision
326,Resident Evil Director's Cut,1996,Action,Virgin Interactive
327,Ratchet & Clank: Size Matters,2007,Platform,Sony Computer Entertainment
328,Just Dance 2014,2013,Misc,Ubisoft
329,The Sims: Unleashed,2002,Simulation,Electronic Arts
330,Super Paper Mario,2007,Platform,Nintendo
331,Harry Potter and the Sorcerer's Stone,2001,Action,Electronic Arts
332,The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games
333,Resident Evil 3: Nemesis,1999,Action,Eidos Interactive
334,Spyro: Year of the Dragon,2000,Platform,Sony Computer Entertainment
335,FIFA Soccer 2005,2004,Sports,Electronic Arts
336,Pokémon Trading Card Game,1998,Strategy,Nintendo
337,Battlefield 4,2013,Shooter,Electronic Arts
338,MySims,2007,Simulation,Electronic Arts
339,Friend Collection,2009,Misc,Nintendo
340,Tony Hawk's Pro Skater 4,2002,Sports,Activision
341,Midnight Club 3: DUB Edition,2005,Racing,Take-Two Interactive
342,Banjo-Kazooie,1998,Platform,Nintendo
343,SOCOM: U.S. Navy SEALs,2002,Shooter,Sony Computer Entertainment
344,Guitar Hero: World Tour,2008,Misc,Activision
345,Gran Turismo 6,2013,Racing,Sony Computer Entertainment
346,Jak and Daxter: The Precursor Legacy,2001,Platform,Sony Computer Entertainment
347,Pokemon Snap,1999,Simulation,Nintendo
348,FIFA Soccer 10,2009,Sports,Electronic Arts
349,Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment
351,Resident Evil 4,2005,Action,Capcom
352,Tom Clancy's The Division,2016,Shooter,Ubisoft
353,Star Wars: Battlefront,2004,Shooter,LucasArts
354,Doom II: Hell on Earth,1994,Shooter,Virgin Interactive
355,The Simpsons: Road Rage,2001,Racing,Electronic Arts
356,Cooking Mama 2: Dinner With Friends,2007,Simulation,505 Games
357,Luigi's Mansion,2001,Action,Nintendo
358,Star Wars: Battlefront II,2005,Shooter,LucasArts
359,WWF SmackDown!,2000,Fighting,THQ
360,Croc: Legend of the Gobbos,1997,Platform,Fox Interactive
362,The Getaway,2002,Action,Sony Computer Entertainment
363,Tomb Raider III: Adventures of Lara Croft,1997,Action,Eidos Interactive
364,James Bond 007: Agent Under Fire,2001,Shooter,Electronic Arts
365,LEGO Star Wars: The Video Game,2005,Action,Eidos Interactive
368,Rugrats in Paris: The Movie,2000,Action,THQ
369,Spyro 2: Ripto's Rage!,1999,Platform,Sony Computer Entertainment
370,Left 4 Dead,2008,Shooter,Electronic Arts
373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Platform,Nintendo
374,Assassin's Creed: Brotherhood,2010,Action,Ubisoft
375,Kung Fu,1985,Action,Nintendo
377,Clubhouse Games,2006,Misc,Nintendo
378,FIFA Soccer 2004,N/A,Sports,Electronic Arts
380,Battlefield: Bad Company 2,2010,Shooter,Electronic Arts
381,Guitar Hero: On Tour,2008,Misc,Activision
383,Far Cry 3,2012,Shooter,Ubisoft
384,Monster Hunter 4,2013,Role-Playing,Capcom
385,Borderlands,2009,Shooter,Take-Two Interactive
386,Tekken 4,2002,Fighting,Namco Bandai Games
388,LittleBigPlanet 2,2011,Platform,Sony Computer Entertainment
389,Grand Theft Auto 2,1998,Action,Take-Two Interactive
390,Final Fantasy III,1994,Role-Playing,SquareSoft
391,Spider-Man 2,2004,Action,Activision
392,F-1 Race,1990,Racing,Nintendo
393,FIFA Soccer 2003,2002,Sports,Electronic Arts
394,Crash Bash,2000,Misc,Sony Computer Entertainment
395,LEGO Batman: The Videogame,2008,Action,Warner Bros. Interactive Entertainment
396,Metal Gear Solid V: The Phantom Pain,2015,Action,Konami Digital Entertainment
397,The Legend of Zelda: Spirit Tracks,2009,Action,Nintendo
398,WWF War Zone,1998,Fighting,Acclaim Entertainment
399,The Legend of Zelda: Majora's Mask,2000,Action,Nintendo
400,Professor Layton and the Unwound Future,2008,Puzzle,Nintendo
401,Rugrats: Search For Reptar,1998,Adventure,THQ
403,English Training: Have Fun Improving Your Skills!,2006,Misc,Nintendo
404,James Bond 007: Nightfire,2002,Shooter,Electronic Arts
405,Ratchet & Clank,2002,Platform,Sony Computer Entertainment
406,Mario Party 9,2012,Misc,Nintendo
407,Star Wars Episode III: Revenge of the Sith,2005,Action,LucasArts
408,Max Payne,2001,Shooter,Take-Two Interactive
409,The Lord of the Rings: The Return of the King,2003,Action,Electronic Arts
410,Assassin's Creed Syndicate,2015,Action,Ubisoft
412,True Crime: Streets of LA,2003,Action,Activision
413,Wii Music,2008,Misc,Nintendo
414,Gran Turismo (PSP),2009,Racing,Sony Computer Entertainment
415,Monster Hunter X,2015,Action,Capcom
416,Tekken,1995,Fighting,Sony Computer Entertainment
418,L.A. Noire,2011,Adventure,Take-Two Interactive
419,Madden NFL 16,2015,Sports,Electronic Arts
420,Yokai Watch 2 Ganso/Honke,2014,Role-Playing,Nintendo
421,007: Tomorrow Never Dies,1999,Shooter,Electronic Arts
422,Baseball,1983,Sports,Nintendo
423,Killer Instinct,1995,Fighting,Nintendo
424,WWF SmackDown! 2: Know Your Role,2000,Fighting,THQ
425,Crisis Core: Final Fantasy VII,2007,Role-Playing,Square Enix
426,God of War: Chains of Olympus,2008,Action,Sony Computer Entertainment
427,Dragon Quest VI: Maboroshi no Daichi,1995,Role-Playing,Enix Corporation
428,Dance Central,2010,Misc,MTV Games
429,Enter the Matrix,2003,Action,Atari
430,Super Mario Maker,2015,Platform,Nintendo
433,Rhythm Heaven,2008,Misc,Nintendo
434,Ace Combat 04: Shattered Skies,2001,Simulation,Sony Computer Entertainment Europe
435,Club Penguin: Elite Penguin Force,2008,Adventure,Disney Interactive Studios
436,Animal Crossing,2001,Simulation,Nintendo
438,Sonic Rush,2005,Platform,Sega
439,Resident Evil 6,2012,Shooter,Capcom
440,Halo: The Master Chief Collection,2014,Shooter,Microsoft Game Studios
441,FIFA Soccer 08,2007,Sports,Electronic Arts
442,Spider-Man,2000,Action,Activision
443,Need for Speed III: Hot Pursuit,1998,Racing,Electronic Arts
444,Star Wars Episode I Racer,1999,Racing,Nintendo
445,Personal Trainer: Cooking,2006,Misc,Nintendo
447,Dragon Warrior IV,1990,Role-Playing,Enix Corporation
448,Heavy Rain,2010,Adventure,Sony Computer Entertainment
449,Mass Effect 2,2010,Role-Playing,Electronic Arts
451,Dragon Ball Z: Budokai,2002,Fighting,Atari
452,Madden NFL 2002,2001,Sports,Electronic Arts
453,World Class Track Meet,1986,Sports,Namco Bandai Games
454,Borderlands 2,2012,Shooter,Take-Two Interactive
455,The Legend of Zelda: A Link Between Worlds,2013,Action,Nintendo
456,Donkey Kong,1994,Platform,Nintendo
457,The Sims: Vacation,2002,Simulation,Electronic Arts
458,Mass Effect 3,2012,Role-Playing,Electronic Arts
459,Kung Fu Panda,2008,Action,Activision
461,Epic Mickey,2010,Platform,Disney Interactive Studios
462,Saints Row 2,2008,Action,THQ
463,Rayman,1995,Platform,Ubisoft
464,Killzone 2,2009,Shooter,Sony Computer Entertainment
465,Tom Clancy's Splinter Cell,2002,Action,Ubisoft
466,Mike Tyson's Punch-Out!!,1987,Fighting,Nintendo
467,WWE SmackDown! Shut Your Mouth,2002,Sports,THQ
468,Gears of War: Ultimate Edition,2015,Shooter,Microsoft Game Studios
469,NBA 2K13,2012,Sports,Take-Two Interactive
470,Dragon Ball Z: Budokai Tenkaichi 3,2007,Fighting,Atari
471,wwe Smackdown vs. Raw 2006,N/A,Fighting,N/A
472,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment
473,Star Fox,1993,Shooter,Nintendo
474,The Sims: Livin Large,2000,Misc,Electronic Arts
475,World Soccer Winning Eleven 6 International,2002,Sports,Konami Digital Entertainment
476,Devil May Cry,2001,Action,Capcom
477,Animal Crossing: Happy Home Designer,2015,Simulation,Nintendo
479,The Sims 4,2014,Simulation,Electronic Arts
480,Star Wars: The Old Republic,2011,Role-Playing,Electronic Arts
481,Sonic Heroes,2003,Platform,Sega
482,Kirby Super Star Ultra,2008,Platform,Nintendo
483,Hitman 2: Silent Assassin,2002,Action,Eidos Interactive
485,Wave Race 64,1996,Racing,Nintendo
486,SOCOM II: U.S. Navy SEALs,2003,Shooter,Sony Computer Entertainment
487,WWE SmackDown! vs. RAW 2006,2005,Fighting,THQ
488,inFAMOUS,2009,Action,Sony Computer Entertainment
489,Pac-Man Collection,2001,Puzzle,Atari
490,Mass Effect,2007,Role-Playing,Microsoft Game Studios
491,WarioWare: Smooth Moves,2006,Puzzle,Nintendo
492,Cooking Mama: Cook Off,2007,Simulation,505 Games
495,Titanfall,2014,Shooter,Electronic Arts
496,Sonic Mega Collection Plus,2004,Misc,Sega
497,Sega Superstars Tennis,2008,Sports,Sega
498,World Soccer Winning Eleven 7 International,2003,Sports,Konami Digital Entertainment
500,Hot Shots Golf 3,2001,Sports,Sony Computer Entertainment
501,Call of Duty: Finest Hour,2004,Shooter,Activision
502,Zumba Fitness 2,2011,Sports,Majesco Entertainment
503,Syphon Filter,1999,Shooter,Sony Computer Entertainment
504,Imagine: Babyz,2007,Simulation,Ubisoft
505,Colin McRae Rally,1998,Racing,Codemasters
507,Madden NFL 13,2012,Sports,Electronic Arts
508,The Elder Scrolls III: Morrowind,2002,Role-Playing,Ubisoft
509,Mortal Kombat,2011,Fighting,Warner Bros. Interactive Entertainment
510,F-Zero,1990,Racing,Nintendo
511,Yoshi's Story,1997,Platform,Nintendo
512,Command & Conquer: Red Alert,1996,Strategy,Virgin Interactive
513,Skylanders: Spyro's Adventure,2011,Action,Activision
516,BioShock,2007,Shooter,Take-Two Interactive
517,Madden NFL 10,2009,Sports,Electronic Arts
518,Medal of Honor,2010,Shooter,Electronic Arts
519,WWE SmackDown! vs. Raw,2002,Fighting,THQ
520,Metroid Prime,2002,Shooter,Nintendo
521,Finding Nemo,2003,Action,THQ
522,Myst,1994,Adventure,Red Orb
523,Need for Speed: Hot Pursuit,2010,Racing,Electronic Arts
524,Imagine: Fashion Designer,2007,Simulation,Ubisoft
525,WWE SmackDown! Here Comes the Pain,2003,Fighting,THQ
526,Star Wars: The Force Unleashed,2008,Action,LucasArts
527,Yoshi's Island DS,2006,Platform,Nintendo
528,Hot Shots Golf,1997,Sports,Sony Computer Entertainment
529,Killzone 3,2011,Shooter,Sony Computer Entertainment
530,A Bug's Life,1998,Platform,Sony Computer Entertainment
531,WWF SmackDown! Just Bring It,2001,Fighting,THQ
532,Dragon Quest V: Tenkuu no Hanayome,1992,Role-Playing,Enix Corporation
533,Mortal Kombat Trilogy,1996,Fighting,GT Interactive
535,NBA Street,2001,Sports,Electronic Arts
536,Professor Layton and the Last Specter,2009,Puzzle,Nintendo
537,Monster Hunter Tri,2011,Role-Playing,Nintendo
538,Jak II,2003,Platform,Sony Computer Entertainment
539,inFAMOUS: Second Son,2014,Action,Sony Computer Entertainment
540,Ratchet & Clank: Going Commando,2003,Platform,Sony Computer Entertainment
541,Tekken 6,2009,Fighting,Namco Bandai Games
542,The Sims,2003,Simulation,Electronic Arts
543,Sonic and the Secret Rings,2007,Platform,Sega
544,Saints Row: The Third,2011,Action,THQ
545,Missile Command,1980,Shooter,Atari
546,Mario Paint,1992,Misc,Nintendo
548,Pokémon Stadium 2,2000,Strategy,Nintendo
549,Metroid,1986,Action,Nintendo
551,Call of Duty 3,2006,Shooter,Activision
553,Onimusha: Warlords,2001,Action,Virgin Interactive
554,Mortal Kombat X,2015,Fighting,Warner Bros. Interactive Entertainment
